Quote,Author
Some people feel the rain. Others just get wet.,Bob Marley
Wherever you go, no matter what the weather, always bring your own sunshine.,Anthony J. D’Angelo
Even the darkest night will end and the sun will rise.,Victor Hugo 
A change in the weather is sufficient to recreate the world and ourselves.,Marcel Proust
"Whether you think you can, or you think you can't—you're right.","Henry Ford"
"Simplicity is the soul of efficiency.","Austin Freeman"
"The code you write makes you a programmer. The code you delete makes you a good one.","Mario Fusco"
"First solve the problem, then write the code.","John Johnson"
"Experience is the name everyone gives to their mistakes.","Oscar Wilde"
You can't get mad at weather because weather's not about you. Apply that lesson to most other aspects of life.,Douglas Coupland
"Climate is what we expect, weather is what we get.",Mark Twain
"If you want to see the sunshine, you have to weather the storm", Frank Lane
"The storm starts, when the drops start dropping, When the drops stop dropping then the storm starts stopping.",  Dr. Seuss
"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.", John Ruskin
"There's no such thing as good weather, or bad weather. There's just weather and your attitude towards it.", Louise Hay
"What good is the warmth of summer, without the cold of winter to give it sweetness.", John Steinbeck